Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
FA 16:0,1.0992207971340362,signal,0.28 OsM,1.02 OsM,3,3,-7.934515622138029,3.4548847515108387,0.00246,2.6090648928966207,Increased,FA
FA 16:1,-0.6715831454215964,signal,0.28 OsM,1.02 OsM,3,3,5.635863849988333,3.971308370561807,0.00498,2.3027706572402824,Decreased,FA
FA 17:1,1.0685868755409265,signal,0.28 OsM,1.02 OsM,3,3,-8.23659866099212,3.668396193172964,0.00171,2.7670038896078464,Increased,FA
FA 18:0,1.105366686870842,signal,0.28 OsM,1.02 OsM,3,3,-5.838152365361003,3.940740997512556,0.00449,2.3477536589966768,Increased,FA
FAHFA 16:0_18:2,1.0808903627857633,signal,0.28 OsM,1.02 OsM,3,3,-4.051402713195662,3.9165223347021416,0.0161,1.7931741239681502,Increased,FA
HBMP 46:2,-1.1079014863642012,signal,0.28 OsM,1.02 OsM,3,3,7.444857790790743,3.995102656626862,0.00175,2.7569619513137056,Decreased,HBMP
HBMP 48:2,-1.2510477292691002,signal,0.28 OsM,1.02 OsM,3,3,7.258178919578132,2.1742963647451106,0.0146,1.8356471442155629,Decreased,HBMP
HBMP 48:3,-1.80228032733368,signal,0.28 OsM,1.02 OsM,3,3,9.34461114590149,2.0232388736619993,0.0108,1.9665762445130504,Decreased,HBMP
HBMP 50:3,-1.8685365627494865,signal,0.28 OsM,1.02 OsM,3,3,6.34710754469806,2.112265616988769,0.0209,1.679853713888946,Decreased,HBMP
HBMP 52:3,-2.2784121352607536,signal,0.28 OsM,1.02 OsM,3,3,10.867985939448852,2.009162658797969,0.00823,2.08460016478773,Decreased,HBMP
LPC 15:0/0:0,1.132112153395041,signal,0.28 OsM,1.02 OsM,3,3,-6.490200007644536,3.452231593331528,0.00477,2.321481620959886,Increased,LPC
LPE 16:1,-1.7379126727613328,signal,0.28 OsM,1.02 OsM,3,3,1.7643163911281188,2.3682258542371613,0.2,0.6989700043360187,p>0.051,NA
PA 17:0_17:1,1.0147182380901956,signal,0.28 OsM,1.02 OsM,3,3,-2.060344138696734,2.7945144992034847,0.138,0.8601209135987634,p>0.051,NA
PA 17:0_19:1,0.9966145487089693,signal,0.28 OsM,1.02 OsM,3,3,-2.2242052767285134,2.028141572067065,0.154,0.8124792791635369,p>0.051,NA
PA 18:1_19:1,-1.21764284457923,signal,0.28 OsM,1.02 OsM,3,3,2.559780150039664,3.7616804225497344,0.0665,1.1771783546968955,p>0.051,NA
PC 34:5,0.2641379572723952,signal,0.28 OsM,1.02 OsM,3,3,-2.531986894189316,3.6541513802539365,0.0704,1.1524273408578878,p>0.051,NA
PE 12:0_14:0,0.9182759537614344,signal,0.28 OsM,1.02 OsM,3,3,-3.987876189292343,3.054060852723889,0.0273,1.563837352959244,Increased,PE
PE 12:0_16:1,-1.3857251976025917,signal,0.28 OsM,1.02 OsM,3,3,8.529702235644,2.287483971172593,0.00883,2.0540392964224314,Decreased,PE
PE 12:0_17:1,0.1354180315872212,signal,0.28 OsM,1.02 OsM,3,3,-1.5656064274502954,3.952596605294123,0.193,0.7144426909922262,p>0.051,NA
PE 14:0_14:0,0.5435426323262069,signal,0.28 OsM,1.02 OsM,3,3,-6.440323863203967,3.3764772192627337,0.00525,2.279840696594043,Increased,PE
PE 14:0_15:0,-0.24052040744239822,signal,0.28 OsM,1.02 OsM,3,3,1.8006855944940166,2.7952860125409313,0.176,0.7544873321858502,p>0.051,NA
PE 14:0_16:0,-0.21034859808471953,signal,0.28 OsM,1.02 OsM,3,3,2.2302321809995846,3.5341548123423685,0.0985,1.0065637695023884,p>0.051,NA
PE 14:0_16:1,-1.349219864018762,signal,0.28 OsM,1.02 OsM,3,3,12.326588212716482,3.9888775653365753,2.53e-4,3.596879478824182,Decreased,PE
PE 14:0_17:1,1.5361457821559068,signal,0.28 OsM,1.02 OsM,3,3,-13.840675789903623,2.1827508549962222,0.00362,2.441291429466834,Increased,PE
PE 14:1_16:1,-1.6372458896380149,signal,0.28 OsM,1.02 OsM,3,3,10.454425602383663,3.225881795511286,0.00135,2.869666231504994,Decreased,PE
PE 15:0_16:0,-0.42224950661179195,signal,0.28 OsM,1.02 OsM,3,3,3.699362847905319,3.5327187238159308,0.0259,1.586700235918748,Decreased,PE
PE 15:0_16:0_2,-0.5792389249120526,signal,0.28 OsM,1.02 OsM,3,3,6.2775750378467166,3.9990790102770624,0.00329,2.4828041020500256,Decreased,PE
