Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PE 16:0_16:1,0.03880230349098321,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.6756273818509626,2.4164303593946257,0.558,0.25336580106242124,p>0.051,NA
PE 16:0_17:0,-1.4279085596159742,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,17.6977873570805,2.8335436993630707,5.48e-4,3.261219441515631,Decreased,PE
PE 16:0_17:0_2,-0.7284143043363163,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,4.965934968187324,3.0859662082508144,0.0147,1.832682665251824,Decreased,PE
PE 16:0_17:1,0.09839356730567043,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.3524706936194462,2.316484878642619,0.293,0.5331323796458906,p>0.051,NA
PE 16:0_18:0,-0.43162306435934866,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.437656557525613,2.233647017407822,0.0642,1.1924649719311469,p>0.051,NA
PE 16:0_18:1,-0.19850484055638912,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,2.7674942841080705,2.3668320518045705,0.091,1.0409586076789064,p>0.051,NA
PE 16:0_19:1,-0.25546266701996184,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.699603383772158,2.7113184723797596,0.0406,1.391473966422806,Decreased,PE
PE 16:1_16:1,0.25657174922573056,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-3.1022589456368954,2.3356658998469846,0.0739,1.1313555616051743,p>0.051,NA
PE 16:1_16:1_2,0.4637086794303653,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-2.3477220105479946,3.790338396967163,0.0823,1.0846001647877301,p>0.051,NA
PE 16:1_17:1,0.7901446335648594,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-15.071806058005489,3.9087321643003508,1.31e-4,3.8827287043442356,Increased,PE
PE 16:1_17:1_2,-0.5216274428071059,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.8043552979153445,2.017439813470013,0.0618,1.2090115249111841,p>0.051,NA
